time	V(buffer_out)
3.855521428571492e-007	5.983033e-001
3.858064285714352e-007	5.983309e-001
3.860607142857212e-007	5.983605e-001
3.863150000000072e-007	5.983921e-001
3.865750000000074e-007	5.984269e-001
3.868350000000077e-007	5.984644e-001
3.870950000000080e-007	5.985045e-001
3.873550000000083e-007	5.985473e-001
3.876150000000086e-007	5.985928e-001
3.878750000000089e-007	5.986409e-001
3.881350000000092e-007	5.986918e-001
3.884650000000096e-007	5.987605e-001
3.887321428571528e-007	5.988195e-001
3.889992857142959e-007	5.988815e-001
3.892664285714391e-007	5.989465e-001
3.895335714285822e-007	5.990144e-001
3.898007142857254e-007	5.990853e-001
3.900678571428685e-007	5.991592e-001
3.903350000000117e-007	5.992360e-001
3.907521428571551e-007	5.993623e-001
3.911692857142984e-007	5.994946e-001
3.915864285714417e-007	5.996329e-001
3.920035714285850e-007	5.997774e-001
3.924207142857284e-007	5.999279e-001
3.928378571428717e-007	6.000844e-001
3.932550000000150e-007	6.002470e-001
3.936592857143012e-007	6.004094e-001
3.940635714285874e-007	6.005752e-001
3.944678571428735e-007	6.007446e-001
3.948721428571597e-007	6.009174e-001
3.952764285714459e-007	6.010937e-001
3.956807142857321e-007	6.012736e-001
3.960850000000182e-007	6.014569e-001
3.963635714285900e-007	6.015843e-001
3.966421428571617e-007	6.017124e-001
3.969207142857335e-007	6.018414e-001
3.971992857143052e-007	6.019712e-001
3.974778571428769e-007	6.021019e-001
3.977564285714487e-007	6.022333e-001
3.980350000000204e-007	6.023656e-001
3.981292857143063e-007	6.024103e-001
3.982235714285921e-007	6.024552e-001
3.983178571428779e-007	6.025001e-001
3.984121428571638e-007	6.025450e-001
3.985064285714496e-007	6.025900e-001
3.986007142857354e-007	6.026351e-001
3.986950000000212e-007	6.026802e-001
3.987050000000212e-007	6.026850e-001
3.987664285714499e-007	6.027144e-001
3.988278571428785e-007	6.027438e-001
3.988892857143071e-007	6.027732e-001
3.989507142857358e-007	6.028027e-001
3.990121428571644e-007	6.028322e-001
3.990735714285930e-007	6.028617e-001
3.991350000000217e-007	6.028911e-001
3.991650000000217e-007	6.029055e-001
3.991950000000218e-007	6.029199e-001
3.992235714285932e-007	6.029337e-001
3.992521428571647e-007	6.029474e-001
3.992807142857361e-007	6.029611e-001
3.993092857143076e-007	6.029748e-001
