time	V(buffer_out)
8.594549999999191e-007	5.995366e-001
8.595835714285019e-007	5.995067e-001
8.597121428570847e-007	5.994769e-001
8.598407142856675e-007	5.994473e-001
8.599692857142503e-007	5.994177e-001
8.600978571428330e-007	5.993882e-001
8.602264285714158e-007	5.993588e-001
8.603549999999986e-007	5.993295e-001
8.603907142857127e-007	5.993214e-001
8.604264285714268e-007	5.993133e-001
8.604621428571410e-007	5.993052e-001
8.604978571428552e-007	5.992971e-001
8.605335714285693e-007	5.992890e-001
8.605692857142834e-007	5.992809e-001
8.606049999999976e-007	5.992728e-001
8.606335714285689e-007	5.992664e-001
8.606621428571401e-007	5.992599e-001
8.606907142857115e-007	5.992535e-001
8.607192857142828e-007	5.992470e-001
8.607478571428542e-007	5.992406e-001
8.607764285714254e-007	5.992342e-001
8.608049999999967e-007	5.992278e-001
8.608335714285681e-007	5.992214e-001
8.608621428571393e-007	5.992149e-001
8.608907142857106e-007	5.992085e-001
8.609192857142820e-007	5.992021e-001
8.609478571428533e-007	5.991957e-001
8.609764285714246e-007	5.991893e-001
8.610049999999959e-007	5.991829e-001
8.610349999999958e-007	5.991762e-001
8.610649999999957e-007	5.991695e-001
8.610949999999955e-007	5.991628e-001
8.611249999999954e-007	5.991561e-001
8.611549999999953e-007	5.991495e-001
8.611849999999952e-007	5.991428e-001
8.612149999999950e-007	5.991361e-001
8.612464285714234e-007	5.991291e-001
8.612778571428520e-007	5.991222e-001
8.613092857142804e-007	5.991152e-001
8.613407142857088e-007	5.991083e-001
8.613721428571372e-007	5.991013e-001
8.614035714285657e-007	5.990944e-001
8.614349999999941e-007	5.990875e-001
8.614692857142797e-007	5.990800e-001
8.615035714285653e-007	5.990724e-001
8.615378571428509e-007	5.990649e-001
8.615721428571364e-007	5.990574e-001
8.616064285714219e-007	5.990500e-001
8.616407142857075e-007	5.990425e-001
8.616749999999931e-007	5.990350e-001
8.617078571428502e-007	5.990279e-001
8.617407142857071e-007	5.990208e-001
8.617735714285642e-007	5.990137e-001
8.618064285714211e-007	5.990066e-001
8.618392857142782e-007	5.989995e-001
8.618721428571351e-007	5.989925e-001
8.619049999999922e-007	5.989854e-001
8.619349999999920e-007	5.989790e-001
8.619649999999919e-007	5.989726e-001
8.619949999999918e-007	5.989663e-001
8.620249999999917e-007	5.989599e-001
8.620549999999915e-007	5.989535e-001
8.620849999999914e-007	5.989472e-001
8.621149999999913e-007	5.989408e-001
8.621392857142769e-007	5.989357e-001
8.621635714285625e-007	5.989306e-001
8.621878571428482e-007	5.989256e-001
8.622121428571337e-007	5.989205e-001
8.622364285714193e-007	5.989154e-001
8.622607142857049e-007	5.989104e-001
8.622849999999906e-007	5.989054e-001
8.623149999999905e-007	5.988992e-001
8.623449999999903e-007	5.988930e-001
8.623721428571330e-007	5.988874e-001
8.623992857142758e-007	5.988819e-001
8.624264285714185e-007	5.988763e-001
8.624535714285613e-007	5.988708e-001
8.624807142857040e-007	5.988653e-001
8.625078571428468e-007	5.988598e-001
8.625349999999895e-007	5.988543e-001
8.626021428571321e-007	5.988408e-001
8.626692857142747e-007	5.988275e-001
8.627364285714172e-007	5.988143e-001
8.628035714285599e-007	5.988012e-001
8.628707142857024e-007	5.987882e-001
8.629378571428450e-007	5.987754e-001
8.630049999999876e-007	5.987627e-001
8.630349999999875e-007	5.987570e-001
8.630549999999874e-007	5.987533e-001
8.630749999999873e-007	5.987496e-001
8.630949999999872e-007	5.987459e-001
8.631149999999871e-007	5.987422e-001
8.631249999999871e-007	5.987403e-001
8.631349999999870e-007	5.987385e-001
8.631449999999870e-007	5.987366e-001
8.631549999999870e-007	5.987348e-001
8.631649999999869e-007	5.987330e-001
8.631749999999869e-007	5.987312e-001
8.631849999999868e-007	5.987293e-001
8.631949999999868e-007	5.987275e-001
8.632049999999867e-007	5.987257e-001
8.632149999999867e-007	5.987239e-001
8.632249999999867e-007	5.987221e-001
8.632349999999866e-007	5.987203e-001
8.632449999999866e-007	5.987185e-001
8.632549999999865e-007	5.987167e-001
8.632749999999865e-007	5.987131e-001
8.632949999999864e-007	5.987095e-001
8.633149999999863e-007	5.987059e-001
8.633349999999862e-007	5.987024e-001
8.633549999999861e-007	5.986989e-001
8.633649999999861e-007	5.986971e-001
8.633749999999860e-007	5.986953e-001
8.633849999999860e-007	5.986936e-001
8.633949999999860e-007	5.986919e-001
8.634049999999859e-007	5.986901e-001
8.634149999999859e-007	5.986884e-001
8.634249999999858e-007	5.986866e-001
8.634349999999858e-007	5.986849e-001
